City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description,Date
213,Claveria,18.6074,121.0832,73.98,86,98,17.47,PH,overcast clouds,2022-02-06 04:47:44
214,Georgetown,5.4112,100.3354,89.53,73,20,1.01,MY,few clouds,2022-02-06 04:45:12
215,Pisco,-13.7,-76.2167,68.05,88,0,4.61,PE,clear sky,2022-02-06 04:47:25
216,Matara,5.9485,80.5353,85.33,54,55,7.07,LK,broken clouds,2022-02-06 04:47:45
217,Lethem,3.3803,-59.7968,76.48,81,100,10.8,GY,overcast clouds,2022-02-06 04:47:45
218,Sitka,57.0531,-135.33,42.69,81,100,24.16,US,moderate rain,2022-02-06 04:44:20
219,Nishihara,26.1842,127.7558,62.65,53,75,16.11,JP,broken clouds,2022-02-06 04:47:21
220,Victoria,22.2855,114.1577,66.38,72,100,1.01,HK,overcast clouds,2022-02-06 04:47:21
221,Nuuk,64.1835,-51.7216,5.61,85,100,0.0,GL,light shower snow,2022-02-06 04:47:46
222,Verkhoyansk,67.5447,133.385,-34.29,98,97,0.49,RU,overcast clouds,2022-02-06 04:47:47
223,Arraial Do Cabo,-22.9661,-42.0278,75.85,89,82,24.7,BR,broken clouds,2022-02-06 04:45:26
224,Aasiaat,68.7098,-52.8699,-9.47,94,100,8.93,GL,overcast clouds,2022-02-06 04:47:47
225,Magnitogorsk,53.4186,59.0472,7.63,85,75,11.18,RU,broken clouds,2022-02-06 04:47:48
226,Pacific Grove,36.6177,-121.9166,54.95,65,0,1.01,US,clear sky,2022-02-06 04:47:48
227,Srednekolymsk,67.45,153.6833,-30.98,98,17,0.81,RU,few clouds,2022-02-06 04:48:48
228,Abha,18.2164,42.5053,48.45,71,0,0.0,SA,clear sky,2022-02-06 04:48:49
229,Provideniya,64.3833,-173.3,-3.82,76,0,12.8,RU,clear sky,2022-02-06 04:48:49
230,Riyadh,24.6877,46.7219,51.85,40,0,0.0,SA,clear sky,2022-02-06 04:47:31
231,Delta,5.5,6.0,73.33,96,3,1.03,NG,clear sky,2022-02-06 04:45:22
232,Polunochnoye,60.8697,60.4153,4.68,96,100,5.57,RU,overcast clouds,2022-02-06 04:48:50
233,Zvishavane,-20.3267,30.0665,63.21,94,100,9.08,ZW,light rain,2022-02-06 04:48:50
234,Okahandja,-21.9833,16.9167,69.84,84,99,3.0,NA,overcast clouds,2022-02-06 04:48:51
235,Lompoc,34.6391,-120.4579,57.51,80,0,4.61,US,clear sky,2022-02-06 04:47:22
236,Pedro Juan Caballero,-22.5472,-55.7333,67.96,100,75,0.0,PY,light rain,2022-02-06 04:48:51
237,Akyab,20.15,92.9,75.9,41,100,8.14,MM,overcast clouds,2022-02-06 04:48:52
238,Basti,26.8,82.7167,61.45,62,0,5.19,IN,clear sky,2022-02-06 04:48:52
239,Krasnyy Kholm,58.0607,37.1203,9.12,96,98,8.39,RU,overcast clouds,2022-02-06 04:48:53
240,Borba,-4.3878,-59.5939,73.13,98,100,1.45,BR,light rain,2022-02-06 04:48:53
241,Tegh,39.5579,46.4772,19.6,54,8,5.44,AM,clear sky,2022-02-06 04:48:53
242,Karaidel,55.8337,56.9069,17.98,93,100,2.59,RU,overcast clouds,2022-02-06 04:48:54
243,Samarai,-10.6167,150.6667,85.03,73,100,10.6,PG,overcast clouds,2022-02-06 04:48:54
244,Le Port,-20.9373,55.2919,84.2,73,100,14.72,RE,light rain,2022-02-06 04:48:55
245,Jalu,29.0331,21.5482,52.45,53,0,7.74,LY,clear sky,2022-02-06 04:48:55
246,Margate,51.3813,1.3862,50.97,77,100,10.0,GB,overcast clouds,2022-02-06 04:48:55
247,Sterling,39.0062,-77.4286,26.46,72,0,0.0,US,clear sky,2022-02-06 04:48:56
248,Hlotse,-28.8718,28.045,58.33,85,11,2.15,LS,few clouds,2022-02-06 04:48:56
249,Solnechnyy,50.7214,136.6319,9.27,87,100,2.75,RU,overcast clouds,2022-02-06 04:48:57
250,Noumea,-22.2763,166.4572,85.98,82,56,7.81,NC,broken clouds,2022-02-06 04:48:57
251,San Policarpo,12.1791,125.5072,82.54,70,77,18.45,PH,broken clouds,2022-02-06 04:48:58
252,Namibe,-15.1961,12.1522,71.17,68,94,7.11,AO,overcast clouds,2022-02-06 04:48:58
253,Jaru,-10.4389,-62.4664,71.44,97,72,1.9,BR,broken clouds,2022-02-06 04:48:59
254,Stepnyak,52.8339,70.7803,9.75,68,52,7.14,KZ,broken clouds,2022-02-06 04:48:59
255,Mecca,21.4267,39.8261,63.23,32,0,3.33,SA,clear sky,2022-02-06 04:49:00
256,Bundaberg,-24.85,152.35,82.69,39,75,24.16,AU,broken clouds,2022-02-06 04:49:00
257,Tyrma,50.0833,132.1667,3.74,82,100,2.04,RU,overcast clouds,2022-02-06 04:49:00
258,Shimoda,34.6667,138.95,46.76,43,35,28.16,JP,scattered clouds,2022-02-06 04:48:32
259,Biak,-0.9131,122.8766,83.52,71,73,0.74,ID,broken clouds,2022-02-06 04:49:01
